Date	Country	Location	Scheduled activity	Assessment
15 Sep	India	Jalna → Mumbai route	Maratha reservation mobilisation begins movement toward Mumbai. Manoj Jarange supporters depart toward Mumbai, with staged stops through Beed, Ahilyanagar, Pune and Raigad before the main protest.	High relevance
15 Sep	Australia	NSW Parliament, Sydney	Anti abortion rally, 1800–1900 outside Parliament House ahead of a parliamentary vote.	Moderate
16 Sep	Australia	Brisbane City	Palestine rally and petition delivery, scheduled for 1630.	Moderate
17 Sep	Australia	Sydney	Student strike against Pauline Hanson, scheduled from 1300.	Moderate
18 Sep	Japan	Kyoto	Anti war peace demonstration, beginning 1800. Similar constitutional and anti war actions are scheduled across several Japanese cities that evening.	Low to Moderate
19 Sep	India	Azad Maidan, Mumbai	Maratha reservation protest and indefinite hunger strike begins. Supporters arriving from the multi day mobilisation are expected to concentrate in Mumbai.	High
19 Sep	Japan	National Diet, Tokyo	9.19 anti war and constitutional mobilisation, 1530 outside the Diet main gate, marking 11 years since the security legislation campaign. Related actions are planned nationwide.	High
19 Sep	New Zealand	Albert Park → Queen Street → Te Komititanga Square, Auckland	March for Nature, gathering 1300 and marching from about 1330 against changes affecting conservation land.	High
19 Sep	Australia	Hyde Park, Sydney	Sydney Walk for Life, scheduled from 1400.	Moderate
19 Sep	Australia	Forrest Place, Perth	Iranian community freedom and justice gathering, 1600–1800.	Moderate
19 Sep	Australia	Wollongong	RAWKUS Against AUKUS / Palestine solidarity action, scheduled from 1600.	Moderate
20 Sep	Japan	Shinjuku, Tokyo	“Protest the chaotic politics” street action, 1500–1630 in the Shinjuku pedestrian zone, followed by a further peace and freedom action until 1800.	High
20 Sep	Japan	Sendai	Gaza / Palestine street march, 1600–1730 from Kakyo-in Green Space.	Moderate
Key operational picture
