Date of incident,Incident Category,Modus Operandi,Product Category,Location Type,High Value,Value EUR,City,Country
02.07.2026,Counterfeit,Deception Other,Tobacco,En Route,Yes,103284,Vidin,Bulgaria
02.07.2026,Counterfeit,Deception Other,Pharmaceuticals,Unknown,No,N/A,Amman,Jordan
02.07.2026,Theft from Facility,Deception Other,Miscellaneous,Origin Facility,No,N/A,Budapest,Hungary
02.07.2026,Theft from Facility,Intrusion,Unspecified,Origin Facility,No,N/A,Békés,Hungary
02.07.2026,Robbery,Violent & Threat with Violence,Unspecified,Retail Store,No,N/A,,France
02.07.2026,Theft from Facility,Intrusion,Food & Drink,Retail Store,No,N/A,Nandrin,Belgium
02.07.2026,Theft from Facility,Intrusion,Miscellaneous,Retail Store,No,7500,Madrid,Spain
02.07.2026,Theft from Facility,Intrusion,Clothing & Footwear,Retail Store,No,N/A,Bielefeld,Germany
02.07.2026,Theft of Trailer,Unknown,Metal,Unknown,Yes,138000,Hirtshals,Denmark
01.07.2026,Theft from Facility,Intrusion,Miscellaneous,Retail Store,No,N/A,Borgomanero,Italy
01.07.2026,Robbery,Intrusion,Miscellaneous,Retail Store,No,50,Vratsa,Bulgaria
01.07.2026,Robbery,Intrusion,Miscellaneous,Retail Store,No,75,Ruse,Bulgaria
01.07.2026,Theft of Vehicle,Unknown,No Load,Unknown,No,N/A,Sigean,France
01.07.2026,Theft from Facility,Intrusion,Miscellaneous,Origin Facility,No,N/A,Voerde,Germany
30.06.2026,Hijacking,Violent & Threat with Violence,Unspecified,En Route,No,N/A,Nespark,South Africa
30.06.2026,Robbery,Violent & Threat with Violence,Cash,En Route,No,N/A,Inkhundla,Eswatini
30.06.2026,Theft from Facility,Unknown,Miscellaneous,Retail Store,No,N/A,Lajosmizse,Hungary
30.06.2026,Theft from Facility,Intrusion,Jewellery/Precious Metals,Origin Facility,No,N/A,Tarn,France
30.06.2026,Theft,Unknown,Miscellaneous,Unknown,No,N/A,Nice,France
30.06.2026,Theft from Facility,Intrusion,Miscellaneous,Origin Facility,No,N/A,Cantal,France
30.06.2026,Theft from Facility,Intrusion,Food & Drink,Retail Store,No,1000,Kościerzyna,Poland
30.06.2026,Theft from Vehicle,Intrusion,Phones,Unknown,No,N/A,Rønne,Denmark
30.06.2026,Theft from Facility,Intrusion,Agricultural Materials,Origin Facility,No,N/A,Styria,Austria
30.06.2026,Theft,Unknown,Unspecified,Unknown,No,N/A,,Israel
30.06.2026,Theft from Vehicle,Intrusion,Miscellaneous Electronics,Unknown,No,5000,Suhl,Germany
30.06.2026,Hijacking,Violent & Threat with Violence,Unspecified,Maritime Transportation Facility,No,N/A,Cairo,Egypt
30.06.2026,Theft from Facility,Intrusion,Miscellaneous,Retail Store,No,N/A,Sofia,Bulgaria
30.06.2026,Theft of Vehicle,Unknown,No Load,Unknown,No,N/A,Villars-sous-Écot,France
30.06.2026,Theft from Vehicle,Intrusion,Unspecified,Services 3rd Party Facility,No,N/A,Villars-sous-Écot,France
30.06.2026,Theft from Facility,Intrusion,Metal,Origin Facility,No,N/A,Franois,France
30.06.2026,Hijacking,Violent & Threat with Violence,No Load,En Route,No,N/A,Ekurhuleni,South Africa
30.06.2026,Hijacking,Violent & Threat with Violence,No Load,En Route,No,N/A,Midrand,South Africa
29.06.2026,Theft from Facility,Internal,Auto parts,Origin Facility,No,N/A,Kawale,Mali
29.06.2026,Theft from Facility,Intrusion,Fuel Theft,En Route,No,N/A,Soyo,Angola
29.06.2026,Theft from Facility,Violent & Threat with Violence,Miscellaneous,Retail Store,No,72,Piacenza,Italy
29.06.2026,Theft from Facility,Intrusion,Metal,Origin Facility,No,N/A,Franois,France
29.06.2026,Theft from Facility,Violent & Threat with Violence,Jewellery/Precious Metals,Retail Store,No,N/A,Pinto,Spain
29.06.2026,Theft from Facility,Intrusion,Jewellery/Precious Metals,Retail Store,No,N/A,Winsen,Germany
29.06.2026,Theft from Facility,Intrusion,Food & Drink,Retail Store,No,N/A,Aisne,France
29.06.2026,Theft from Vehicle,Internal,Clothing & Footwear,Services 3rd Party Facility,No,250,Forchheim,Germany
29.06.2026,Hijacking,Violent & Threat with Violence,Miscellaneous,En Route,No,N/A,Johannesburg,South Africa
29.06.2026,Theft of Vehicle,Unknown,No Load,Unknown,No,N/A,Germiston,South Africa
28.06.2026,Robbery,Violent & Threat with Violence,Cash,En Route,No,N/A,Windhoek,Namibia
28.06.2026,Counterfeit,Deception Other,Miscellaneous,En Route,No,N/A,Ceuta,Spain
28.06.2026,Theft from Facility,Intrusion,Clothing & Footwear,Retail Store,No,N/A,Catania,Italy
28.06.2026,Theft from Facility,Intrusion,Cosmetics & Hygiene,Retail Store,No,2000,Sorrento,Italy
28.06.2026,Theft from Facility,Intrusion,Miscellaneous,Retail Store,No,N/A,Østermarie,Denmark
28.06.2026,Theft from Facility,Intrusion,Miscellaneous,Retail Store,No,N/A,Randers,Denmark
28.06.2026,Theft from Vehicle,Intrusion,Auto parts,Origin Facility,No,N/A,Melk,Austria
27.06.2026,Counterfeit,Deception Other,Tobacco,En Route,No,N/A,,"Moldova, Republic of"
