Date of incident,Incident Category,Modus Operandi,Product Category,Location Type,High Value,Value EUR,City,Country
03.05.2026,Counterfeit,Deception Other,Auto parts,Retail Store,No,N/A,,India
03.05.2026,Counterfeit,Deception Other,Auto parts,Retail Store,No,N/A,,India
01.05.2026,Hijacking,Intrusion,Miscellaneous,Unclassified Parking,No,N/A,,India
01.05.2026,Hijacking,Intrusion,Miscellaneous,Unclassified Parking,No,N/A,,India
23.04.2026,Counterfeit,Deception Other,Food & Drink,Origin Facility,No,N/A,,India
23.04.2026,Counterfeit,Deception Other,Food & Drink,Origin Facility,No,N/A,,India
29.03.2026,Counterfeit,Deception Other,Food & Drink,Origin Facility,No,N/A,Dwarka,India
29.03.2026,Counterfeit,Deception Other,Food & Drink,Origin Facility,No,N/A,Dwarka,India
28.03.2026,Counterfeit,Deception Other,Food & Drink,Origin Facility,No,N/A,Warangal,India
28.03.2026,Counterfeit,Deception Other,Food & Drink,Origin Facility,No,N/A,Warangal,India
28.03.2026,Counterfeit,Deception Other,Food & Drink,Origin Facility,No,N/A,Hyderabad,India
28.03.2026,Counterfeit,Deception Other,Food & Drink,Origin Facility,No,N/A,Hyderabad,India
28.03.2026,Counterfeit,Deception Other,Food & Drink,Origin Facility,No,N/A,Hyderabad,India
28.03.2026,Counterfeit,Deception Other,Food & Drink,Origin Facility,No,N/A,Hyderabad,India
27.03.2026,Counterfeit,Deception Other,Pharmaceuticals,Origin Facility,No,N/A,New Delhi,India
27.03.2026,Counterfeit,Deception Other,Pharmaceuticals,Origin Facility,No,N/A,New Delhi,India
27.03.2026,Robbery,Internal,Cash,En Route,No,N/A,,India
27.03.2026,Robbery,Internal,Cash,En Route,No,N/A,,India
24.03.2026,Counterfeit,Deception Other,Pharmaceuticals,Retail Store,No,13975,,Hong Kong
24.03.2026,Counterfeit,Deception Other,Pharmaceuticals,Retail Store,No,13975,,Hong Kong
12.03.2026,Counterfeit,Deception Other,Pharmaceuticals,Origin Facility,No,N/A,,India
12.03.2026,Counterfeit,Deception Other,Pharmaceuticals,Origin Facility,No,N/A,,India
11.03.2026,Counterfeit,Deception Other,Pharmaceuticals,Origin Facility,No,N/A,Delhi,India
11.03.2026,Counterfeit,Deception Other,Pharmaceuticals,Origin Facility,No,N/A,Delhi,India
08.03.2026,Counterfeit,Deception Other,Food & Drink,Origin Facility,No,N/A,,India
08.03.2026,Counterfeit,Deception Other,Food & Drink,Origin Facility,No,N/A,,India
02.03.2026,Counterfeit,Deception Other,Food & Drink,Retail Store,No,N/A,,India
02.03.2026,Counterfeit,Deception Other,Food & Drink,Retail Store,No,N/A,,India
28.02.2026,Truck Theft,Intrusion,No Load,Retail Store,No,N/A,New Delhi,India
28.02.2026,Truck Theft,Intrusion,No Load,Retail Store,No,N/A,New Delhi,India
23.02.2026,Theft from Container,Intrusion,Miscellaneous,Retail Store,No,15306,Tweed Heads,Australia
23.02.2026,Theft from Container,Intrusion,Miscellaneous,Retail Store,No,15306,Tweed Heads,Australia
