Date of incident,Incident Category,Modus Operandi,Product Category,Location Type,High Value,Value EUR,City,Country
25.04.2026,Theft,Intrusion,Cash,Origin Facility,No,8585,Nagpur,India
25.04.2026,Theft,Intrusion,Furniture/Household Appliances,Origin Facility,No,N/A,Lucknow,India
25.04.2026,Fraud,Deception Other,Food & Drink,Destination Facility,No,N/A,,India
24.04.2026,Counterfeit,Deception Other,Cosmetics & Hygiene,Maritime Transportation Facility,No,N/A,Ho Chi Minh,Viet Nam
23.04.2026,Counterfeit,Deception Other,Food & Drink,Origin Facility,No,N/A,,India
23.04.2026,Counterfeit,Deception Other,Food & Drink,Origin Facility,No,1438,Ahmedabad,India
23.04.2026,Counterfeit,Deception Other,Food & Drink,Origin Facility,No,N/A,,India
23.04.2026,Counterfeit,Deception Other,Toys/Games,Maritime Transportation Facility,No,N/A,Ho Chi Minh,Viet Nam
23.04.2026,Fraud,Deception Other,Fuel Theft,Destination Facility,No,12987,Johor Bahru,Malaysia
23.04.2026,Clandestine,Theft from Moving Vehicle,Tools/Building Materials,Destination Facility,No,29601,Surat,India
23.04.2026,Robbery,Violent & Threat with Violence,Unspecified,En Route,No,N/A,Dumka,India
22.04.2026,Counterfeit,Deception Other,Miscellaneous,Retail Store,Yes,119905,,Hong Kong
22.04.2026,Counterfeit,Deception Other,Cosmetics & Hygiene,Retail Store,No,N/A,,India
22.04.2026,Counterfeit,Deception Other,Pharmaceuticals,Origin Facility,Yes,536256,New Delhi,India
22.04.2026,Theft from Vehicle,Violent & Threat with Violence,Auto parts,En Route,No,N/A,,Indonesia
22.04.2026,Theft,Intrusion,Tools/Building Materials,Origin Facility,No,N/A,Ahmedabad,India
22.04.2026,Unknown,Violent & Threat with Violence,Tools/Building Materials,Origin Facility,No,N/A,,India
21.04.2026,Counterfeit,Deception Other,Pharmaceuticals,Origin Facility,No,18194,,India
21.04.2026,Counterfeit,Deception Other,Tobacco,Origin Facility,Yes,10901598,,Philippines
20.04.2026,Robbery,Intrusion,Tobacco,Origin Facility,No,N/A,Dhubri,India
20.04.2026,Theft from Vehicle,Intrusion,Unspecified,En Route,No,N/A,,Indonesia
